,State,Facility Name,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,StateLat,StateLon
1742,IL,DAVITA - WAUKEGAN - HOME PROGRAM,No Score,No Reduction,1/1/2000,39.739318,-89.504139
1743,FL,TITUSVILLE DIALYSIS AND KIDNEY CENTER,53,0.50%,2/24/1993,27.9757279,-83.8330166
1744,GA,FRESENIUS MEDICAL CARE COLLEGE PARK,71,No Reduction,6/29/2005,32.6781248,-83.2229757
1745,IL,FMC - GREENWOOD AVENUE DIALYSIS CENTER,52,0.50%,7/6/2000,39.739318,-89.504139
1746,IN,FMC - COLUMBUS BARTHOLOMEW,59,0.50%,9/1/1998,39.7662195,-86.441277
1747,GA,RENALSOUTH OF ROME LLC,60,No Reduction,8/27/2014,32.6781248,-83.2229757
1748,FL,NEPHROLOGY CENTER OF CRESTVIEW,66,No Reduction,11/2/1994,27.9757279,-83.8330166
1749,GA,INNOVATIVE HOME DIALYSIS OF GEORGIA LLC,75,No Reduction,7/22/2014,32.6781248,-83.2229757
1750,IL,FMC - ROSELAND,53,0.50%,6/5/2008,39.739318,-89.504139
1751,GA,US RENAL CARE DALTON DIALYSIS,73,No Reduction,1/1/1982,32.6781248,-83.2229757
1752,IL,FMC - LOGAN SQUARE,80,No Reduction,1/29/2014,39.739318,-89.504139
1753,IL,FMC - WILLOWBROOK,63,No Reduction,10/2/2002,39.739318,-89.504139
1754,IL,SAH DIALYSIS CLINIC @26TH ST,84,No Reduction,8/29/2013,39.739318,-89.504139
1755,IL,AFFILIATED DIALYSIS CENTERS,38,1.50%,2/1/2005,39.739318,-89.504139
1756,ID,DSI HAYDEN DIALYSIS,75,No Reduction,8/3/2009,45.4945756,-114.1424303
1757,IL,DAVITA - DECATUR EAST WOOD DIALYSIS,68,No Reduction,6/1/2000,39.739318,-89.504139
1758,FL,SANTA ROSA DIALYSIS,78,No Reduction,8/12/1997,27.9757279,-83.8330166
1759,IL,HOME HEMODIALYSIS NETWORK,58,0.50%,12/14/2015,39.739318,-89.504139
1760,FL,FRESENIUS KIDNEY CARE PERRINE,No Score,No Reduction,9/19/2017,27.9757279,-83.8330166
1761,IL,FMC - OF METROPOLIS,63,No Reduction,7/22/2009,39.739318,-89.504139
1762,IL,DAVITA - BELVIDERE DIALYSIS,87,No Reduction,3/28/2016,39.739318,-89.504139
1763,GA,DIALYSIS CLINIC INC CLARK HOME TRAINING CENTER,47,1.00%,10/1/2008,32.6781248,-83.2229757
1764,GA,CANDLER COUNTY DIALYSIS,78,No Reduction,9/1/1976,32.6781248,-83.2229757
1765,FL,FMC - MACCLENNY,77,No Reduction,9/3/2008,27.9757279,-83.8330166
1766,ID,TABLE ROCK DIALYSIS CENTER,64,No Reduction,10/1/1995,45.4945756,-114.1424303
1767,GA,DOUGLAS DIALYSIS,72,No Reduction,2/13/1985,32.6781248,-83.2229757
1768,IL,DANVILLE DIALYSIS SERVICES LLC,66,No Reduction,4/2/2002,39.739318,-89.504139
1769,IL,LAKEVIEW HOME DIALYSIS,66,No Reduction,6/21/2011,39.739318,-89.504139
1770,FL,PALM BREEZE DIALYSIS,74,No Reduction,4/2/2010,27.9757279,-83.8330166
1771,GA,FRESENIUS MEDICAL CARE TOCCOA,75,No Reduction,8/18/1986,32.6781248,-83.2229757
1772,IN,FMC - PORTAGE DIALYSIS CENTER,89,No Reduction,1/1/2000,39.7662195,-86.441277
1773,GA,TOTAL RENAL CARE INC.,55,0.50%,12/30/2014,32.6781248,-83.2229757
1774,GA,FRESENIUS MEDICAL CARE ACWORTH,61,No Reduction,5/3/2012,32.6781248,-83.2229757
1775,IL,FMC - CICERO,85,No Reduction,5/17/2013,39.739318,-89.504139
1776,GA,STOCKBRIDGE DIALYSIS CLINICLLC,40,1.00%,9/21/2005,32.6781248,-83.2229757
1777,FL,SOUTH FLORIDA DIALYSIS,77,No Reduction,7/10/1995,27.9757279,-83.8330166
1778,GA,FRESENIUS MEDICAL CARE BERKELEY LAKE LLC,91,No Reduction,1/31/2013,32.6781248,-83.2229757
1779,IN,DAVITA - SALEM DIALYSIS CENTER,71,No Reduction,6/12/2007,39.7662195,-86.441277
1780,IL,FMC - MIDWEST - KEWANEE,78,No Reduction,7/21/1997,39.739318,-89.504139
1781,GA,FMC DIALYSIS SERVICES OF HOUSTON COUNTY,83,No Reduction,5/17/2006,32.6781248,-83.2229757
1782,FL,FLORIDA DIALYSIS CENTER OF ORLANDO LLC,58,0.50%,10/11/2010,27.9757279,-83.8330166
1783,FL,ST CLOUD DIALYSIS,46,1.00%,5/26/2006,27.9757279,-83.8330166
1784,GA,DSI MONTICELLO DIALYSIS,83,No Reduction,8/27/2002,32.6781248,-83.2229757
1785,IL,FMC - STREATOR,63,No Reduction,9/26/2008,39.739318,-89.504139
1786,FL,UNIVERSAL KIDNEY CENTER INC,51,0.50%,10/14/1998,27.9757279,-83.8330166
1787,FL,PINNACLE DIALYSIS OF BOCA RATON,75,No Reduction,6/17/1993,27.9757279,-83.8330166
1788,GA,SHONE DIALYSIS LLC,68,No Reduction,7/15/2014,32.6781248,-83.2229757
1789,IL,FMC - ANTIOCH,57,0.50%,3/29/2006,39.739318,-89.504139
1790,IN,FMC -  WABASH VALLEY,65,No Reduction,1/13/1995,39.7662195,-86.441277
1791,GA,FRESENIUS MEDICAL CARE HIGHLANDS,63,No Reduction,1/22/2004,32.6781248,-83.2229757
1792,FL,FMC DIALYSIS SERVICES - NORTH BOYNTON BEACH,75,No Reduction,12/16/2002,27.9757279,-83.8330166
1793,FL,WESTON DIALYSIS CENTER,61,No Reduction,7/21/2004,27.9757279,-83.8330166
1794,IL,DAVITA - WOODLAWN DIALYSIS,64,No Reduction,8/1/2010,39.739318,-89.504139
1795,FL,SOUTH BEACH DIALYSIS,76,No Reduction,1/1/1997,27.9757279,-83.8330166
1796,IN,FMC - NEPHROLOGY - HOME,74,No Reduction,10/15/2007,39.7662195,-86.441277
1797,IL,FMC - JACKSON PARK DIALYSIS CENTER,49,1.00%,9/1/1977,39.739318,-89.504139
1798,IL,DAVITA - EDWARDSVILLE DIALYSIS,59,0.50%,2/10/2009,39.739318,-89.504139
1799,GA,FMC DIALYSIS SERVICES WOODSTOCK,82,No Reduction,7/3/2002,32.6781248,-83.2229757
1800,GA,NRA PALMETTO,62,No Reduction,9/21/2007,32.6781248,-83.2229757
1801,ID,GATE CITY DIALYSIS CENTER,76,No Reduction,11/9/1999,45.4945756,-114.1424303
1802,FL,GREATER TAMPA AT HOME,43,1.00%,10/1/2009,27.9757279,-83.8330166
1803,FL,BMA - CUTLER RIDGE,58,0.50%,5/16/1997,27.9757279,-83.8330166
1804,IL,FMC - DOWNERS GROVE DIALYSIS CENTER,68,No Reduction,1/1/2000,39.739318,-89.504139
1805,FL,KIDNEY SPA LLC,61,No Reduction,2/2/2009,27.9757279,-83.8330166
1806,FL,COMPLETE DIALYSIS CARE,55,0.50%,5/18/1992,27.9757279,-83.8330166
1807,FL,FORT MYERS NORTH DIALYSIS,84,No Reduction,12/28/2001,27.9757279,-83.8330166
1808,GA,CORDELE DIALYSIS,64,No Reduction,3/26/2008,32.6781248,-83.2229757
1809,IN,FMC - MADISON,62,No Reduction,2/7/2005,39.7662195,-86.441277
1810,FL,RENAL CARE GROUP - WEST PALM,40,1.00%,3/20/2001,27.9757279,-83.8330166
1811,FL,BAY BREEZE DIALYSIS CLINIC INC,55,0.50%,12/11/1998,27.9757279,-83.8330166
1812,IN,FMC - EAST CHICAGO DIALYSIS CENTER,69,No Reduction,2/2/2000,39.7662195,-86.441277
1813,GA,DIALYSIS CENTER OF MACON LLC,55,0.50%,6/3/2015,32.6781248,-83.2229757
1814,IN,FMC - CIRCLE CITY,61,No Reduction,7/14/2006,39.7662195,-86.441277
1815,IL,FMC - CRESTWOOD,58,0.50%,1/1/1980,39.739318,-89.504139
1816,IL,DAVITA - CHURCHVIEW DIALYSIS CENTER,70,No Reduction,1/4/1996,39.739318,-89.504139
1817,IL,FMC - PLAINFIELD,74,No Reduction,12/3/2009,39.739318,-89.504139
1818,GA,MILLER DIALYSIS,48,1.00%,3/25/2015,32.6781248,-83.2229757
1819,IL,FMC - MCLEAN COUNTY,54,0.50%,10/1/1993,39.739318,-89.504139
1820,FL,OCALA REGIONAL KIDNEY CENTER WEST,71,No Reduction,7/6/1995,27.9757279,-83.8330166
1821,IL,FMC - OAK PARK DIALYSIS UNIT,81,No Reduction,1/1/1980,39.739318,-89.504139
1822,IL,FMC - NORTHFIELD,92,No Reduction,9/4/2013,39.739318,-89.504139
1823,FL,RCG - SACRED HEART - PED DIALYSIS,No Score,No Reduction,1/26/1999,27.9757279,-83.8330166
1824,IL,DAVITA - BIG OAKS DIALYSIS,66,No Reduction,3/1/2010,39.739318,-89.504139
1825,ID,LIBERTY DIALYSIS - IDAHO FALLS,89,No Reduction,11/14/2006,45.4945756,-114.1424303
1826,FL,ARCADIA DIALYSIS CENTER,90,No Reduction,7/7/1999,27.9757279,-83.8330166
1827,FL,US RENAL CARE UPTOWN DIALYSIS,58,0.50%,7/19/2005,27.9757279,-83.8330166
1828,GA,TOTAL RENAL CARE INC.,39,1.50%,12/23/2013,32.6781248,-83.2229757
1829,GA,ROME DIALYSIS,62,No Reduction,9/1/1976,32.6781248,-83.2229757
1830,FL,PINELLAS WEST SHORE DIALYSIS,67,No Reduction,4/5/2010,27.9757279,-83.8330166
1831,GA,SANDERSVILLE DIALYSIS CLINIC LLC,78,No Reduction,7/12/1984,32.6781248,-83.2229757
1832,IL,FMC - RANDOLPH COUNTY,72,No Reduction,3/5/1999,39.739318,-89.504139
1833,HI,DSI ALOHA DIALYSIS CENTER,79,No Reduction,3/16/1988,20.46,-157.505
1834,GA,FOREST PARK DIALYSIS CENTER,59,0.50%,5/11/2001,32.6781248,-83.2229757
1835,GA,COLUMBUS DIALYSIS,76,No Reduction,12/10/1990,32.6781248,-83.2229757
1836,IL,DAVITA - SOUTH HOLLAND,48,1.00%,1/1/1990,39.739318,-89.504139
1837,FL,GATEWAY DIALYSIS CENTER,74,No Reduction,8/11/2008,27.9757279,-83.8330166
1838,FL,SOUTHWEST FLORIDA DIALYSIS CENTER,64,No Reduction,12/7/2007,27.9757279,-83.8330166
1839,IN,FMC - LIBERTY DIALYSIS - FRANKFORT,87,No Reduction,3/21/1994,39.7662195,-86.441277
1840,IL,BEVERLY DIALYSIS,54,0.50%,6/6/2003,39.739318,-89.504139
1841,GA,SAVANNAH GATEWAY,64,No Reduction,11/14/2012,32.6781248,-83.2229757
1842,IL,DAVITA - GRAND CROSSING DIALYSIS,48,1.00%,11/28/2011,39.739318,-89.504139
1843,IL,DAVITA - CALUMET CITY DIALYSIS,No Score,No Reduction,7/3/2017,39.739318,-89.504139
1844,HI,KAIMUKI DIALYSIS,75,No Reduction,1/3/2008,20.46,-157.505
1845,GA,ATLANTA DIALYSIS,54,0.50%,7/26/1989,32.6781248,-83.2229757
1846,FL,RCG - SACRED HEART - ADULT DIALYSIS,62,No Reduction,1/26/1999,27.9757279,-83.8330166
1847,IN,FMC - NEOMEDICA - MUNSTER,56,0.50%,11/10/1999,39.7662195,-86.441277
1848,FL,FMC - NARANJA,71,No Reduction,1/23/2008,27.9757279,-83.8330166
1849,GA,COMPREHENSIVE RENAL CARE OF NORTHLAKE LLC,68,No Reduction,7/12/2001,32.6781248,-83.2229757
1850,GA,RENAL CARE PARTNERS OF ROSWELL,53,0.50%,12/21/2011,32.6781248,-83.2229757
1851,IN,DSI - KNOX DIALYSIS,93,No Reduction,4/9/2007,39.7662195,-86.441277
1852,GA,DARIEN DIALYSIS,88,No Reduction,2/17/2012,32.6781248,-83.2229757
1853,IN,FMC NEW CASTLE,69,No Reduction,2/2/2000,39.7662195,-86.441277
1854,IL,DAVITA - LAWNDALE DIALYSIS,72,No Reduction,2/12/2014,39.739318,-89.504139
1855,FL,CENTRAL FLORIDA KIDNEY CENTER - OSCEOLA,76,No Reduction,9/6/1996,27.9757279,-83.8330166
1856,IL,WELLBOUND OF EVANSTON,53,0.50%,10/10/2007,39.739318,-89.504139
1857,GA,RENAL CARE GROUP LITHONIA,62,No Reduction,12/21/2005,32.6781248,-83.2229757
1858,HI,KONA DIALYSIS,80,No Reduction,1/15/2006,20.46,-157.505
1859,IN,FMC - DIALYSIS SERVICES OF SALEM,87,No Reduction,11/16/2001,39.7662195,-86.441277
1860,GA,DAVITA FORT VALLEY,59,0.50%,7/10/1989,32.6781248,-83.2229757
1861,FL,CLEWISTON DIALYSIS CENTER,77,No Reduction,10/21/1998,27.9757279,-83.8330166
1862,GA,GAINESVILLE DIALYSIS,48,1.00%,5/9/2001,32.6781248,-83.2229757
1863,FL,ORLANDO SOUTHWEST DIALYSIS,62,No Reduction,4/22/1999,27.9757279,-83.8330166
1864,GA,FMC NEW BAILIE,72,No Reduction,3/1/2002,32.6781248,-83.2229757
1865,IL,DAVITA - CENTRALIA DIALYSIS,71,No Reduction,11/15/2000,39.739318,-89.504139
1866,IN,FMC - INDIANAPOLIS-EAST,59,0.50%,8/6/1986,39.7662195,-86.441277
1867,IN,FMC - NEPHROLOGY - LA PORTE,75,No Reduction,10/1/1995,39.7662195,-86.441277
1868,GA,DCI FAYETTEVILLE,70,No Reduction,7/7/1997,32.6781248,-83.2229757
1869,IN,FMC - IRVINGTON,76,No Reduction,12/15/2003,39.7662195,-86.441277
1870,GA,CRISP REGIONAL HOSPITAL DIALYSIS UNIT,52,0.50%,8/30/1988,32.6781248,-83.2229757
1871,IL,MIDWEST KIDNEY CENTER,No Score,No Reduction,8/18/2015,39.739318,-89.504139
1872,IL,DAVITA - RUSHVILLE DIALYSIS,86,No Reduction,12/6/2001,39.739318,-89.504139
1873,IL,DAVITA - CHILDRENS DIALYSIS CENTER,43,1.00%,4/1/2000,39.739318,-89.504139
1874,GA,NORTH CARROLLTON DIALYSIS,61,No Reduction,3/23/2011,32.6781248,-83.2229757
1875,ID,LIBERTY DIALYSIS - SANDPOINT,78,No Reduction,4/23/2010,45.4945756,-114.1424303
1876,FL,JOHNSON DIALYSIS CENTER LLC,67,No Reduction,10/1/2008,27.9757279,-83.8330166
1877,IL,DAVITA - MT GREENWOOD,54,0.50%,3/7/2005,39.739318,-89.504139
1878,FL,ORLANDO HOME TRAINING DIALYSIS,63,No Reduction,8/30/2000,27.9757279,-83.8330166
1879,IL,DAVITA - SPRINGFIELD SOUTH DIALYSIS,77,No Reduction,6/15/2012,39.739318,-89.504139
1880,ID,MAGIC VALLEY KIDNEY CENTER,71,No Reduction,2/21/2014,45.4945756,-114.1424303
1881,GA,FMC DIALYSIS SERVICES SOUTH COBB,58,0.50%,10/19/1999,32.6781248,-83.2229757
1882,IL,FMC - MUNDELEIN,88,No Reduction,2/2/2012,39.739318,-89.504139
1883,IN,FMC - INDIANAPOLIS-SOUTH,63,No Reduction,1/1/1996,39.7662195,-86.441277
1884,GA,DSI CARTERSVILLE RENAL CENTER,67,No Reduction,3/28/2001,32.6781248,-83.2229757
1885,FL,WINTER PARK DIALYSIS,46,1.00%,3/31/2008,27.9757279,-83.8330166
1886,HI,DSI - WINDWARD DIALYSIS CENTER,77,No Reduction,7/7/1987,20.46,-157.505
1887,GA,EAST MACON DIALYSIS CENTER,46,1.00%,11/15/2000,32.6781248,-83.2229757
1888,GA,FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS LLC,64,No Reduction,4/10/2002,32.6781248,-83.2229757
1889,FL,RAI CARE CENTERS - WINTER HAVEN,62,No Reduction,7/30/1993,27.9757279,-83.8330166
1890,IL,DAVITA - FLOSSMOOR HOME,58,0.50%,4/9/2014,39.739318,-89.504139
1891,IN,DAVITA - DIALYSIS - FRANKLIN,79,No Reduction,2/16/2007,39.7662195,-86.441277
1892,GA,RAI CARE CENTERS FAYETTEVILLE,75,No Reduction,12/29/2010,32.6781248,-83.2229757
1893,GA,ARA AUGUSTA LLC,62,No Reduction,7/1/2002,32.6781248,-83.2229757
1894,GA,BMA OF WARNER ROBINS INC.,60,No Reduction,7/18/1983,32.6781248,-83.2229757
1895,GA,MCDONOUGH DIALYSIS FACILITY,68,No Reduction,9/14/1998,32.6781248,-83.2229757
1896,IL,FMC - DIALYSIS CENTERS OF AMERICA-ILLINOIS,77,No Reduction,8/11/2000,39.739318,-89.504139
1897,FL,BRIGHT DIALYSIS,51,0.50%,10/11/1999,27.9757279,-83.8330166
1898,GA,ARA SOUTH AUGUSTA CLINIC,64,No Reduction,5/8/2002,32.6781248,-83.2229757
1899,FL,FMC - MILTON,52,0.50%,4/7/1997,27.9757279,-83.8330166
1900,GA,DIALYSIS CLINIC INC. - BLAKELY,70,No Reduction,10/3/1988,32.6781248,-83.2229757
1901,IN,DAVITA - VINCENNES DIALYSIS,75,No Reduction,7/1/2005,39.7662195,-86.441277
1902,GA,CARLSBAD DIALYSIS LLC,86,No Reduction,4/30/2014,32.6781248,-83.2229757
1903,IN,DAVITA - EAST EVANSVILLE DIALYSIS,64,No Reduction,1/1/1996,39.7662195,-86.441277
1904,GA,FRESENIUS MEDICAL CARE CARROL COUNTY,65,No Reduction,4/21/2005,32.6781248,-83.2229757
1905,IL,ARA - SOUTH BARRINGTON DIALYSIS CENTER,82,No Reduction,4/6/2005,39.739318,-89.504139
1906,FL,LIGHTHOUSE POINT DIALYSIS,57,0.50%,6/20/1994,27.9757279,-83.8330166
1907,FL,WINTER PARK HOME PD DIALYSIS,68,No Reduction,8/29/2005,27.9757279,-83.8330166
1908,IL,HOME DIALYSIS SERVICES LLC,48,1.00%,10/23/2012,39.739318,-89.504139
1909,IL,DAVITA - LITCHFIELD DIALYSIS,76,No Reduction,10/25/1996,39.739318,-89.504139
1910,IL,DAVITA - MORRIS DIALYSIS,69,No Reduction,11/27/2012,39.739318,-89.504139
1911,IL,DAVITA - MARYVILLE DIALYSIS,74,No Reduction,1/1/2003,39.739318,-89.504139
1912,GA,NEPHROLOGY CENTERS OF AMERICA GROVETOWN,67,No Reduction,4/17/1995,32.6781248,-83.2229757
1913,IL,DAVITA - MONTCLARE DIALYSIS,69,No Reduction,6/7/2004,39.739318,-89.504139
1914,IL,FRESENIUS KIDNEY CARE CHICAGOLAND LLC,No Score,No Reduction,9/22/2017,39.739318,-89.504139
1915,GA,FMC BULLOCH COUNTY,73,No Reduction,4/5/2006,32.6781248,-83.2229757
1916,GA,NORTH FULTON DIALYSIS,60,No Reduction,10/17/1995,32.6781248,-83.2229757
1917,ID,MOSCOW DIALYSIS CENTER,97,No Reduction,11/6/2009,45.4945756,-114.1424303
1918,FL,DAVIE CITY DIALYSIS,56,0.50%,8/17/2004,27.9757279,-83.8330166
1919,IL,FMC - OTTAWA DIALYSIS,82,No Reduction,10/25/1996,39.739318,-89.504139
1920,FL,RAI CARE CENTERS - HAINES CITY,74,No Reduction,11/1/1999,27.9757279,-83.8330166
1921,IL,DAVITA - TINLEY PARK,68,No Reduction,12/17/2016,39.739318,-89.504139
1922,GA,DSI GRAY DIALYSIS,64,No Reduction,12/20/2006,32.6781248,-83.2229757
1923,IL,DAVITA - STONY CREEK DIALYSIS,54,0.50%,3/21/2005,39.739318,-89.504139
1924,IL,FMC - GALESBURG,67,No Reduction,5/25/1998,39.739318,-89.504139
1925,FL,PERRY DIALYSIS,86,No Reduction,2/22/2002,27.9757279,-83.8330166
1926,GA,EMORY DIALYSIS LLC,40,1.00%,7/3/2014,32.6781248,-83.2229757
1927,GA,TUCKER DIALYSIS,56,0.50%,8/28/2009,32.6781248,-83.2229757
1928,IN,FMC -  LINTON,72,No Reduction,3/29/2001,39.7662195,-86.441277
1929,IL,FMC - OF MCHENRY,77,No Reduction,8/8/2005,39.739318,-89.504139
1930,FL,ARA - NAPLES DIALYSIS CENTER LLC,69,No Reduction,5/4/2007,27.9757279,-83.8330166
1931,IL,RENAL CARE PROVIDERS LLC,43,1.00%,5/25/2016,39.739318,-89.504139
1932,GA,RCG THOMASVILLE,64,No Reduction,1/1/1995,32.6781248,-83.2229757
1933,IN,DAVITA -  BLUE RIVER VALLEY RENAL CENTER,85,No Reduction,1/10/1997,39.7662195,-86.441277
1934,IL,FKC - MOKENA DIALYSIS,66,No Reduction,12/19/2007,39.739318,-89.504139
1935,GA,RENAL CARE PARTNERS OF CUMMING,71,No Reduction,2/9/2011,32.6781248,-83.2229757
1936,FL,NRI - NAPLES,70,No Reduction,8/10/2004,27.9757279,-83.8330166
1937,GA,FRESENIUS MEDICAL CARE CLAYTON COUNTY,62,No Reduction,2/12/1998,32.6781248,-83.2229757
1938,FL,FRESENIUS KIDNEY CARE-DUNEDIN,57,0.50%,2/17/2009,27.9757279,-83.8330166
1939,GA,SHAMROCK DIALYSIS,62,No Reduction,12/23/2008,32.6781248,-83.2229757
1940,FL,DIALYSIS CLINIC INC OF SOUTHPOINT,49,1.00%,7/6/1992,27.9757279,-83.8330166
1941,GA,NEPHRON CORPORATION,41,1.00%,11/16/2010,32.6781248,-83.2229757
1942,IL,DAVITA - ROBINSON DIALYSIS,82,No Reduction,9/9/2010,39.739318,-89.504139
1943,GA,FMC LAWRENCEVILLE,70,No Reduction,7/30/2015,32.6781248,-83.2229757
1944,IL,FMC - RIVER FOREST DIALYSIS,72,No Reduction,8/22/2012,39.739318,-89.504139
1945,HI,DSI HONOLULU DIALYSIS CENTER,73,No Reduction,8/1/1983,20.46,-157.505
1946,IL,FMC - SUMMIT,56,0.50%,9/12/2016,39.739318,-89.504139
1947,GA,TOTAL RENAL CARE INC,76,No Reduction,1/8/2014,32.6781248,-83.2229757
1948,GA,EASTLAKE DIALYSIS,75,No Reduction,9/6/1988,32.6781248,-83.2229757
1949,IL,PRESENCE CHICAGO HOSPITALS NETWORK,60,No Reduction,7/13/1992,39.739318,-89.504139
1950,IL,DAVITA - MACHESNEY PARK DIALYSIS,70,No Reduction,10/7/2016,39.739318,-89.504139
1951,IL,RENVIVA LLC,30,1.50%,8/8/2016,39.739318,-89.504139
1952,GA,COLONIAL SPRINGS DIALYSIS,74,No Reduction,3/2/2010,32.6781248,-83.2229757
1953,IL,FMC - JOLIET,61,No Reduction,5/21/2012,39.739318,-89.504139
1954,IL,HOME DIALYSIS SERVICES NORTH CHICAGO LLC,No Score,No Reduction,8/17/2016,39.739318,-89.504139
1955,FL,CONTINENTAL DIALYSIS CARE,48,1.00%,3/22/1999,27.9757279,-83.8330166
1956,IL,FMC - NORRIDGE,77,No Reduction,10/17/1979,39.739318,-89.504139
1957,IL,CIRCLE MEDICAL MANAGEMENT,42,1.00%,1/12/1988,39.739318,-89.504139
1958,HI,NORTH HAWAII DIALYSIS,74,No Reduction,7/7/2007,20.46,-157.505
1959,FL,FMC-MIAMI SHORES LLC,58,0.50%,10/22/2003,27.9757279,-83.8330166
1960,FL,OCALA REGIONAL KIDNEY CENTERS HOME DIALYSIS,74,No Reduction,7/12/2005,27.9757279,-83.8330166
1961,FL,UNIVERSAL KIDNEY CENTER OF BOYNTON BEACH,29,2.00%,5/15/2001,27.9757279,-83.8330166
1962,IN,FMC - SHADELAND STATION,63,No Reduction,3/3/2003,39.7662195,-86.441277
1963,GA,USRC VOLDOSTA HOME PROGRAM LLC,80,No Reduction,4/16/2014,32.6781248,-83.2229757
1964,IL,FMC - WEST SUBURBAN DIALYSIS CENTER,71,No Reduction,1/1/1999,39.739318,-89.504139
1965,FL,SANFORD DIALYSIS,58,0.50%,11/30/2005,27.9757279,-83.8330166
1966,GA,EISENHOWER PARKWAY DIALYSIS,62,No Reduction,9/2/2003,32.6781248,-83.2229757
1967,IL,FMC - DUPAGE PERITONEAL DIALYSIS SERVICES,94,No Reduction,12/15/2000,39.739318,-89.504139
1968,IL,ARA - MCHENRY DIALYSIS CENTER,65,No Reduction,9/26/2012,39.739318,-89.504139
1969,FL,HILLIARD DIALYSIS CENTER LLC,93,No Reduction,3/27/2006,27.9757279,-83.8330166
1970,IN,FMC - CROWN POINT,82,No Reduction,7/1/1996,39.7662195,-86.441277
1971,IN,FMC - MERRILLVILLE DIALYSIS CENTER,59,0.50%,8/30/1996,39.7662195,-86.441277
1972,GA,NEPHRON CORPORATION,23,2.00%,10/1/1990,32.6781248,-83.2229757
1973,ID,FMC POST FALLS DIALYSIS UNIT,76,No Reduction,9/21/2004,45.4945756,-114.1424303
1974,FL,EMBASSY LAKES ARTIFICIAL KIDNEY CENTER,57,0.50%,3/21/2005,27.9757279,-83.8330166
1975,GA,SOUTHWEST ATLANTA DIALYSIS CENTER,54,0.50%,6/24/1981,32.6781248,-83.2229757
1976,IN,DSI - NORTH MUNCIE,74,No Reduction,6/11/1979,39.7662195,-86.441277
1977,IL,FMC - DECATUR - PD,100,No Reduction,4/1/2001,39.739318,-89.504139
1978,IL,DAVITA - EVANSTON RENAL CENTER,71,No Reduction,1/1/1981,39.739318,-89.504139
1979,IL,DAVITA - MOLINE HOME TRAINING,92,No Reduction,1/8/2014,39.739318,-89.504139
1980,GA,GEORGIA KIDNEY INSTITUTE LLC,41,1.00%,7/16/2014,32.6781248,-83.2229757
1981,IL,DAVITA - ROXBURY DIALYSIS CENTER,73,No Reduction,5/27/2005,39.739318,-89.504139
1982,ID,NAMPA DIALYSIS CENTER,92,No Reduction,10/13/1989,45.4945756,-114.1424303
1983,IL,FMC - SANDWICH DIALYSIS LLC,86,No Reduction,2/2/2009,39.739318,-89.504139
1984,FL,ORANGE CITY DIALYSIS,63,No Reduction,11/30/2000,27.9757279,-83.8330166
1985,FL,BMA - AVON PARK,54,0.50%,2/9/1996,27.9757279,-83.8330166
1986,IL,AFFILIATED HOME DIALYSIS OF ELK GROVE,28,2.00%,1/21/2009,39.739318,-89.504139
1987,IL,DAVITA - DANVILLE AT HOME,76,No Reduction,8/3/2012,39.739318,-89.504139
1988,GA,COLUMBUS HOME DIALYSIS,55,0.50%,8/15/1983,32.6781248,-83.2229757
1989,IL,DAVITA - BUFFALO GROVE DIALYSIS,71,No Reduction,7/20/2004,39.739318,-89.504139
1990,IL,FMC - NORTHCENTER DIALYSIS,78,No Reduction,11/4/1983,39.739318,-89.504139
1991,FL,GATEWAY DIALYSIS,78,No Reduction,3/24/2010,27.9757279,-83.8330166
1992,IN,FMC - LIBERTY DIALYSIS - CRAWFORDSVILLE,81,No Reduction,6/26/2002,39.7662195,-86.441277
1993,GA,SWAINSBORO DIALYSIS CLINIC LLC,73,No Reduction,9/8/1999,32.6781248,-83.2229757
1994,ID,FMC PALOUSE,71,No Reduction,10/22/2009,45.4945756,-114.1424303
1995,GA,MITCHELL COUNTY DIALYSIS FACILITY,78,No Reduction,12/30/1987,32.6781248,-83.2229757
1996,IL,DAVITA - LINCOLN PARK NEPHROLOGY ASSN SC,70,No Reduction,5/1/1982,39.739318,-89.504139
1997,GA,TROUP COUNTY DIALYSIS,70,No Reduction,3/1/2012,32.6781248,-83.2229757
1998,GA,SEMINOLE DIALYSIS LLC,61,No Reduction,5/14/2013,32.6781248,-83.2229757
1999,IN,DAVITA - NEW ALBANY DIALYSIS,93,No Reduction,12/30/2004,39.7662195,-86.441277
2000,GA,DSI CONYERS LLC,69,No Reduction,2/1/2013,32.6781248,-83.2229757
2001,HI,DSI WAHIAWA DIALYSIS CENTER,66,No Reduction,8/1/1983,20.46,-157.505
2002,IL,HOME DIALYSIS SERVICES ROCKFORD LLC,38,1.50%,3/3/2016,39.739318,-89.504139
2003,GA,EMORY DIALYSIS LLC,49,1.00%,2/4/2010,32.6781248,-83.2229757
2004,IL,DAVITA - SPRINGFIELD CENTRAL DIALYSIS,68,No Reduction,1/1/1998,39.739318,-89.504139
2005,GA,SOUTHWEST GEORGIA DIALYSIS,60,No Reduction,7/14/1980,32.6781248,-83.2229757
2006,GA,COLQUITT REGIONAL MEDICAL CENTER DIALYSIS,61,No Reduction,3/6/1986,32.6781248,-83.2229757
