,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
933,DAVITA - HAZELCREST,142622,HAZEL CREST,Illinois,IL,60429,41.57,-87.68,7,5,5,5,6,5,10,8,8,8,10,9,0,6,4,7,1,5,10,9,10,10,1,5,8,5,10,10,10,10,54,0.50%,2/28/2002,6150 days 00:00:00.000000000
934,DAVITA - OLYMPIA FIELDS DIALYSIS CENTER,142548,MATTESON,Illinois,IL,60443,41.51,-87.73,5,5,4,5,5,5,7,8,5,8,10,9,6,6,8,7,1,5,6,9,10,10,3,5,0,5,10,10,10,10,47,1.00%,9/24/1990,10325 days 00:00:00.000000000
935,DAVITA - SCHAUMBURG RENAL CENTER,142654,SCHAUMBURG,Illinois,IL,60193,42.03,-88.08,9,5,7,5,8,5,10,8,9,8,10,9,0,6,4,7,5,5,9,9,10,10,5,5,6,5,10,10,10,10,68,No Reduction,10/15/2004,5190 days 00:00:00.000000000
936,FMC - SOUTH SUBURBAN,142517,OLYMPIA FIELDS,Illinois,IL,60461,41.51,-87.69,2,5,0,5,1,5,10,8,10,8,10,9,10,6,10,7,2,5,10,9,10,10,7,5,3,5,10,10,10,10,62,No Reduction,1/1/1978,14974 days 00:00:00.000000000
937,FMC - QUAD CITIES,142526,MOLINE,Illinois,IL,61265,41.48,-90.48,7,5,2,5,5,5,8,8,9,8,10,9,9,6,9,7,0,5,10,9,10,10,0,5,4,5,10,10,10,10,51,0.50%,8/1/1981,13666 days 00:00:00.000000000
938,FMC - NORTH AVENUE DIALYSIS CENTER,142602,MELROSE PARK,Illinois,IL,60160,41.9,-87.86,8,5,10,5,9,5,9,8,8,8,10,9,8,6,9,7,5,5,10,9,10,10,4,5,8,5,10,10,10,10,76,No Reduction,7/11/2000,6747 days 00:00:00.000000000
939,FMC - NEOMEDICA - MELROSE PARK,142554,MELROSE PARK,Illinois,IL,60160,41.9,-87.86,2,5,7,5,4,5,9,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,4,5,7,5,10,10,10,10,73,No Reduction,3/17/1992,9785 days 00:00:00.000000000
940,DAVITA - CARPENTERSVILLE,142598,CARPENTERSVILLE,Illinois,IL,60110,42.12,-88.27,6,5,4,5,5,5,10,8,10,8,10,9,5,6,7,7,3,5,10,9,10,10,8,5,10,5,10,10,10,10,72,No Reduction,5/30/2000,6789 days 00:00:00.000000000
941,DAVITA - SPRINGFIELD MONTVALE DIALYSIS,142590,SPRINGFIELD,Illinois,IL,62704,39.78,-89.64,2,5,3,5,2,5,8,8,9,8,10,9,0,6,4,7,4,5,9,9,10,10,2,5,8,5,10,10,10,10,53,0.50%,8/23/1999,7070 days 00:00:00.000000000
942,FMC - RAI - CENTRE WEST SPRINGFIELD,142546,SPRINGFIELD,Illinois,IL,62704,39.78,-89.64,5,5,6,5,5,5,3,8,9,8,10,9,6,6,8,7,7,5,10,9,10,10,7,5,5,5,10,10,10,10,65,No Reduction,10/25/1996,8102 days 00:00:00.000000000
943,FMC - ELMHURST DIALYSIS CENTER,142612,ELMHURST,Illinois,IL,60126,41.89,-87.94,6,5,10,5,8,5,9,8,10,8,10,9,5,6,7,7,0,5,10,9,10,10,3,5,5,5,10,10,10,10,59,0.50%,12/4/2000,6601 days 00:00:00.000000000
944,FMC - BURBANK,142641,BURBANK,Illinois,IL,60459,41.74,-87.76,2,5,1,5,2,5,10,8,10,8,10,9,8,6,9,7,4,5,9,9,10,10,3,5,7,5,10,10,10,10,64,No Reduction,9/8/2003,5593 days 00:00:00.000000000
945,FMC - SKOKIE DIALYSIS,142618,SKOKIE,Illinois,IL,60076,42.03,-87.73,5,5,3,5,4,5,10,8,8,8,10,9,10,6,10,7,9,5,10,9,10,10,2,5,3,5,10,10,10,10,72,No Reduction,7/1/2001,6392 days 00:00:00.000000000
946,FMC - NILES,142559,NILES,Illinois,IL,60714,42.02,-87.8,2,5,7,5,4,5,10,8,10,8,10,9,8,6,9,7,8,5,10,9,10,10,9,5,10,5,10,10,10,10,85,No Reduction,1/11/1992,9851 days 00:00:00.000000000
947,FMC - CHAMPAIGN - URBANA DIALYSIS CENTER,142588,URBANA,Illinois,IL,61801,40.1,-88.2,2,5,4,5,3,5,10,8,8,8,10,9,6,6,8,7,3,5,10,9,10,10,3,5,3,5,10,10,10,10,57,0.50%,12/31/1998,7305 days 00:00:00.000000000
948,FMC - ROSS DIALYSIS - ENGLEWOOD,142670,CHICAGO,Illinois,IL,60621,41.83,-87.68,2,5,3,5,2,5,10,8,6,8,10,9,6,6,8,7,0,5,10,9,10,10,3,5,7,5,10,10,10,10,53,0.50%,10/24/2005,4816 days 00:00:00.000000000
949,DAVITA - WEST LAWN DIALYSIS,142719,CHICAGO,Illinois,IL,60629,41.83,-87.68,5,5,5,5,5,5,8,8,9,8,10,9,2,6,5,7,1,5,10,9,10,10,6,5,10,5,10,10,10,10,60,No Reduction,3/17/2011,2846 days 00:00:00.000000000
950,DAVITA - LOGAN SQUARE DIALYSIS SVCS INC,142534,CHICAGO,Illinois,IL,60618,41.83,-87.68,6,5,8,5,7,5,10,8,9,8,10,9,4,6,6,7,4,5,10,9,10,10,5,5,5,5,10,10,10,10,67,No Reduction,10/30/1986,11750 days 00:00:00.000000000
951,FMC - NORTHCENTER DIALYSIS,142531,CHICAGO,Illinois,IL,60618,41.83,-87.68,6,5,6,5,6,5,10,8,8,8,10,9,6,6,8,7,6,5,10,9,10,10,7,5,9,5,10,10,10,10,78,No Reduction,11/4/1983,12841 days 00:00:00.000000000
952,FMC - PALATINE DIALYSIS CENTER,142723,PALATINE,Illinois,IL,60074,42.11,-88.04,4,5,0,5,2,5,9,8,8,8,10,9,5,6,7,7,9,5,10,9,10,10,4,5,6,5,10,10,10,10,69,No Reduction,6/9/2011,2762 days 00:00:00.000000000
953,FMC - QUAD CITIES KIDNEY CENTER SILVIS LLC,142675,SILVIS,Illinois,IL,61282,41.5,-90.41,8,5,3,5,6,5,10,8,10,8,10,9,7,6,8,7,1,5,10,9,10,10,4,5,7,5,10,10,10,10,64,No Reduction,5/25/2006,4603 days 00:00:00.000000000
954,DAVITA - LITTLE VILLAGE DIALYSIS,142668,CHICAGO,Illinois,IL,60608,41.83,-87.68,8,5,7,5,8,5,10,8,9,8,10,9,0,6,4,7,5,5,9,9,10,10,7,5,9,5,10,10,10,10,73,No Reduction,7/28/2005,4904 days 00:00:00.000000000
955,FMC - DIALYSIS SERVICES OF CONGRESS PARKWAY,142631,CHICAGO,Illinois,IL,60624,41.83,-87.68,3,5,2,5,3,5,8,8,10,8,10,9,10,6,10,7,2,5,10,9,10,10,3,5,5,5,10,10,10,10,59,0.50%,11/6/2002,5899 days 00:00:00.000000000
956,DAVITA - GARFIELD KIDNEY CENTER,142777,CHICAGO,Illinois,IL,60624,41.83,-87.68,9,5,7,5,8,5,10,8,9,8,10,9,6,6,8,7,9,5,7,9,10,10,8,5,6,5,10,10,10,10,85,No Reduction,6/25/2014,1650 days 00:00:00.000000000
957,DAVITA - SAUGET DIALYSIS CENTER,142561,SAUGET,Illinois,IL,62206,38.61,-90.13,6,5,0,5,3,5,5,8,8,8,10,9,5,6,7,7,1,5,7,9,10,10,2,5,5,5,10,10,10,10,45,1.00%,5/13/1993,9363 days 00:00:00.000000000
958,FMC - ELK GROVE DIALYSIS CTR,142507,ELK GROVE VILLAGE,Illinois,IL,60007,42,-87.99,3,5,3,5,3,5,10,8,10,8,10,9,3,6,6,7,5,5,10,9,10,10,3,5,3,5,10,10,10,10,60,No Reduction,9/1/1977,15096 days 00:00:00.000000000
959,FMC - REGENCY PARK,142558,O FALLON,Illinois,IL,62269,38.59,-89.91,2,5,0,5,1,5,8,8,9,8,10,9,6,6,8,7,7,5,10,9,10,10,4,5,5,5,10,10,10,10,63,No Reduction,9/9/1997,7783 days 00:00:00.000000000
960,KANKAKEE COUNTY DIALYSIS,142685,BOURBONNAIS,Illinois,IL,60914,41.16,-87.88,4,5,9,5,6,5,7,8,6,8,10,9,10,6,10,7,2,5,7,9,10,10,4,5,7,5,10,10,10,10,62,No Reduction,9/13/2007,4127 days 00:00:00.000000000
961,FMC - NEOMEDICA - SOUTH HOLLAND,142542,SOUTH HOLLAND,Illinois,IL,60473,41.59,-87.6,5,5,5,5,5,5,6,8,10,8,10,9,6,6,8,7,3,5,9,9,10,10,4,5,8,5,10,10,10,10,61,No Reduction,12/22/1988,10966 days 00:00:00.000000000
962,DAVITA - SOUTH HOLLAND,142544,SOUTH HOLLAND,Illinois,IL,60473,41.59,-87.6,4,5,2,5,3,5,7,8,3,8,10,9,6,6,8,7,2,5,9,9,10,10,1,5,6,5,10,10,10,10,48,1.00%,1/1/1990,10591 days 00:00:00.000000000
963,DAVITA - CHICAGO HEIGHTS DIALYSIS,142635,SOUTH CHICAGO HEIGHT,Illinois,IL,60411,41.5,-87.63,6,5,6,5,6,5,8,8,10,8,10,9,6,6,8,7,0,5,10,9,10,10,1,5,5,5,10,10,10,10,54,0.50%,3/10/2003,5775 days 00:00:00.000000000
964,FMC - NEOMEDICA - NORTH KILPATRICK,142501,CHICAGO,Illinois,IL,60630,41.83,-87.68,6,5,9,5,7,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,10,5,9,5,10,10,10,10,84,No Reduction,7/1/1973,16619 days 00:00:00.000000000
965,DAVITA - ROCKFORD DIALYSIS,142647,ROCKFORD,Illinois,IL,61103,42.27,-89.06,10,5,7,5,9,5,7,8,8,8,10,9,7,6,8,7,1,5,10,9,10,10,3,5,6,5,10,10,10,10,61,No Reduction,1/1/1976,15705 days 00:00:00.000000000
966,FMC - DUPAGE WEST,142509,WEST CHICAGO,Illinois,IL,60185,41.88,-88.22,6,5,7,5,6,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,4,5,7,5,10,10,10,10,74,No Reduction,7/1/1995,8584 days 00:00:00.000000000
967,FMC - GREENWOOD AVENUE DIALYSIS CENTER,142601,CHICAGO,Illinois,IL,60619,41.83,-87.68,0,5,0,5,0,5,10,8,10,8,10,9,3,6,6,7,2,5,10,9,10,10,2,5,7,5,10,10,10,10,52,0.50%,7/6/2000,6752 days 00:00:00.000000000
968,FMC - ROSELAND,142690,CHICAGO,Illinois,IL,60628,41.83,-87.68,3,5,0,5,2,5,6,8,8,8,10,9,5,6,7,7,6,5,7,9,10,10,4,5,0,5,10,10,10,10,53,0.50%,6/5/2008,3861 days 00:00:00.000000000
969,FMC - LOGAN SQUARE,142766,CHICAGO,Illinois,IL,60647,41.83,-87.68,4,5,3,5,4,5,9,8,8,8,10,9,9,6,9,7,9,5,9,9,10,10,6,5,10,5,10,10,10,10,80,No Reduction,1/29/2014,1797 days 00:00:00.000000000
970,DAVITA - LINCOLN PARK NEPHROLOGY ASSN SC,142528,CHICAGO,Illinois,IL,60647,41.83,-87.68,8,5,1,5,5,5,10,8,7,8,10,9,5,6,7,7,6,5,9,9,10,10,6,5,6,5,10,10,10,10,70,No Reduction,5/1/1982,13393 days 00:00:00.000000000
971,FMC - WILLOWBROOK,142632,WILLOWBROOK,Illinois,IL,60527,41.8,-87.92,1,5,5,5,3,5,9,8,8,8,10,9,9,6,9,7,2,5,8,9,10,10,6,5,8,5,10,10,10,10,63,No Reduction,10/2/2002,5934 days 00:00:00.000000000
972,DAVITA - DECATUR EAST WOOD DIALYSIS,142599,DECATUR,Illinois,IL,62523,39.85,-88.93,7,5,6,5,7,5,10,8,9,8,10,9,2,6,5,7,6,5,8,9,10,10,6,5,3,5,10,10,10,10,68,No Reduction,6/1/2000,6787 days 00:00:00.000000000
973,DANVILLE DIALYSIS SERVICES LLC,142625,DANVILLE,Illinois,IL,61832,40.14,-87.61,5,5,2,5,4,5,10,8,9,8,10,9,0,6,4,7,10,5,10,9,9,10,2,5,3,5,10,10,10,10,66,No Reduction,4/2/2002,6117 days 00:00:00.000000000
974,DAVITA - WOODLAWN DIALYSIS,142721,CHICAGO,Illinois,IL,60609,41.83,-87.68,8,5,2,5,5,5,10,8,10,8,10,9,1,6,5,7,4,5,10,9,10,10,4,5,7,5,10,10,10,10,64,No Reduction,8/1/2010,3074 days 00:00:00.000000000
975,DAVITA - EMERALD DIALYSIS,142529,CHICAGO,Illinois,IL,60609,41.83,-87.68,5,5,2,5,4,5,7,8,5,8,10,9,0,6,4,7,1,5,9,9,8,10,2,5,0,5,10,10,10,10,38,1.50%,7/22/1982,13311 days 00:00:00.000000000
976,FMC - GARFIELD,142555,CHICAGO,Illinois,IL,60609,41.83,-87.68,6,5,3,5,5,5,5,8,10,8,10,9,6,6,8,7,1,5,8,9,10,10,0,5,10,5,10,10,10,10,53,0.50%,10/25/1997,7737 days 00:00:00.000000000
977,FMC - BRIDGEPORT,142524,CHICAGO,Illinois,IL,60609,41.83,-87.68,3,5,2,5,3,5,9,8,7,8,10,9,8,6,9,7,0,5,10,9,10,10,3,5,10,5,10,10,10,10,57,0.50%,9/1/1980,14000 days 00:00:00.000000000
978,FMC - JACKSON PARK DIALYSIS CENTER,142516,CHICAGO,Illinois,IL,60649,41.83,-87.68,2,5,1,5,2,5,8,8,9,8,10,9,4,6,6,7,2,5,9,9,10,10,1,5,6,5,10,10,10,10,49,1.00%,9/1/1977,15096 days 00:00:00.000000000
979,FMC - DOWNERS GROVE DIALYSIS CENTER,142503,DOWNERS GROVE,Illinois,IL,60515,41.79,-88.01,0,5,3,5,1,5,10,8,10,8,10,9,9,6,9,7,4,5,10,9,10,10,7,5,7,5,10,10,10,10,68,No Reduction,1/1/2000,6939 days 00:00:00.000000000
980,USRC - OAKBROOK LLC,142750,DOWNERS GROVE,Illinois,IL,60515,41.79,-88.01,4,5,7,5,5,5,9,8,9,8,10,9,10,6,10,7,5,5,10,9,10,10,9,5,10,5,10,10,10,10,80,No Reduction,4/23/2013,2078 days 00:00:00.000000000
981,FMC - CRESTWOOD,142538,CRESTWOOD,Illinois,IL,60445,41.62,-87.72,1,5,2,5,1,5,10,8,9,8,10,9,10,6,10,7,2,5,10,9,10,10,1,5,8,5,10,10,10,10,58,0.50%,1/1/1980,14244 days 00:00:00.000000000
982,DAVITA - CHURCHVIEW DIALYSIS CENTER,142640,ROCKFORD,Illinois,IL,61107,42.27,-89.06,6,5,7,5,6,5,8,8,9,8,10,9,9,6,9,7,6,5,6,9,10,10,4,5,6,5,10,10,10,10,70,No Reduction,1/4/1996,8397 days 00:00:00.000000000
983,DAVITA - ROXBURY DIALYSIS CENTER,142665,ROCKFORD,Illinois,IL,61107,42.27,-89.06,9,5,7,5,8,5,9,8,9,8,10,9,5,6,7,7,9,5,10,9,10,10,1,5,5,5,10,10,10,10,73,No Reduction,5/27/2005,4966 days 00:00:00.000000000
984,FMC - PLAINFIELD,142707,PLAINFIELD,Illinois,IL,60586,41.61,-88.2,3,5,4,5,3,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,9,10,6,5,10,5,10,10,10,10,74,No Reduction,12/3/2009,3315 days 00:00:00.000000000
985,FMC - MCLEAN COUNTY,142563,BLOOMINGTON,Illinois,IL,61701,40.47,-88.97,4,5,4,5,4,5,8,8,9,8,10,9,5,6,7,7,4,5,10,9,10,10,2,5,1,5,10,10,10,10,54,0.50%,10/1/1993,9222 days 00:00:00.000000000
986,DAVITA - LAWNDALE DIALYSIS,142768,CHICAGO,Illinois,IL,60623,41.83,-87.68,4,5,7,5,5,5,10,8,9,8,10,9,5,6,7,7,9,5,10,9,10,10,1,5,7,5,10,10,10,10,72,No Reduction,2/12/2014,1783 days 00:00:00.000000000
987,DAVITA - CENTRALIA DIALYSIS,142609,CENTRALIA,Illinois,IL,62801,38.52,-89.12,6,5,5,5,6,5,9,8,10,8,10,9,2,6,5,7,8,5,10,9,10,10,6,5,4,5,10,10,10,10,71,No Reduction,11/15/2000,6620 days 00:00:00.000000000
988,DAVITA - MT GREENWOOD,142660,CHICAGO,Illinois,IL,60655,41.83,-87.68,6,5,4,5,5,5,10,8,8,8,10,9,5,6,7,7,0,5,10,9,10,10,1,5,7,5,10,10,10,10,54,0.50%,3/7/2005,5047 days 00:00:00.000000000
989,FMC - MUNDELEIN,142731,MUNDELEIN,Illinois,IL,60060,42.26,-88,9,5,10,5,9,5,10,8,10,8,10,9,8,6,9,7,9,5,10,9,10,10,4,5,10,5,10,10,10,10,88,No Reduction,2/2/2012,2524 days 00:00:00.000000000
990,DAVITA - LITCHFIELD DIALYSIS,142583,LITCHFIELD,Illinois,IL,62056,39.17,-89.65,8,5,5,5,7,5,10,8,9,8,10,9,4,6,6,7,9,5,10,9,10,10,5,5,4,5,10,10,10,10,76,No Reduction,10/25/1996,8102 days 00:00:00.000000000
991,DAVITA - MORRIS DIALYSIS,142740,MORRIS,Illinois,IL,60450,41.36,-88.42,0,5,0,5,0,5,10,8,9,8,10,9,7,6,8,7,5,5,10,9,10,10,10,5,6,5,10,10,10,10,69,No Reduction,11/27/2012,2225 days 00:00:00.000000000
992,DAVITA - MARYVILLE DIALYSIS,142634,MARYVILLE,Illinois,IL,62062,38.72,-89.96,6,5,4,5,5,5,9,8,5,8,10,9,6,6,8,7,7,5,10,9,10,10,8,5,6,5,10,10,10,10,74,No Reduction,1/1/2003,5843 days 00:00:00.000000000
993,DAVITA - MONTCLARE DIALYSIS,142649,CHICAGO,Illinois,IL,60634,41.83,-87.68,4,5,4,5,4,5,10,8,9,8,10,9,6,6,8,7,4,5,10,9,10,10,7,5,6,5,10,10,10,10,69,No Reduction,6/7/2004,5320 days 00:00:00.000000000
994,DAVITA - STONY CREEK DIALYSIS,142661,OAK LAWN,Illinois,IL,60453,41.71,-87.75,5,5,1,5,3,5,9,8,3,8,10,9,9,6,9,7,5,5,10,9,10,10,0,5,2,5,10,10,10,10,54,0.50%,3/21/2005,5033 days 00:00:00.000000000
995,FMC - GALESBURG,142579,GALESBURG,Illinois,IL,61401,40.95,-90.37,2,5,2,5,2,5,9,8,10,8,10,9,9,6,9,7,3,5,10,9,10,10,7,5,8,5,10,10,10,10,67,No Reduction,5/25/1998,7525 days 00:00:00.000000000
996,DAVITA - ROBINSON DIALYSIS,142714,ROBINSON,Illinois,IL,62454,39,-87.74,10,5,8,5,9,5,10,8,9,8,10,9,3,6,6,7,6,5,10,9,10,10,10,5,8,5,10,10,10,10,82,No Reduction,9/9/2010,3035 days 00:00:00.000000000
997,FMC - RIVER FOREST DIALYSIS,142735,RIVER FOREST,Illinois,IL,60305,41.89,-87.81,5,5,3,5,4,5,9,8,9,8,10,9,9,6,9,7,7,5,10,9,10,10,2,5,9,5,10,10,10,10,72,No Reduction,8/22/2012,2322 days 00:00:00.000000000
998,DAVITA - MACHESNEY PARK DIALYSIS,142806,MACHESNEY PARK,Illinois,IL,61115,42.36,-89.03,8,5,5,5,7,5,10,8,8,8,10,9,7,6,8,7,0,5,10,9,10,10,10,5,8,5,10,10,10,10,70,No Reduction,10/7/2016,815 days 00:00:00.000000000
999,FMC - JOLIET,142739,JOLIET,Illinois,IL,60432,41.52,-88.12,1,5,1,5,1,5,10,8,9,8,10,9,7,6,8,7,5,5,10,9,10,10,0,5,9,5,10,10,10,10,61,No Reduction,5/21/2012,2415 days 00:00:00.000000000
1000,FMC - NORRIDGE,142521,NORRIDGE,Illinois,IL,60706,41.96,-87.8,3,5,8,5,5,5,9,8,9,8,10,9,5,6,7,7,10,5,10,9,10,10,4,5,8,5,10,10,10,10,77,No Reduction,10/17/1979,14320 days 00:00:00.000000000
1001,CIRCLE MEDICAL MANAGEMENT,142540,CHICAGO,Illinois,IL,60607,41.83,-87.68,2,5,1,5,2,5,7,8,6,8,10,9,2,6,5,7,3,5,10,9,10,10,2,5,0,5,10,10,10,10,42,1.00%,1/12/1988,11311 days 00:00:00.000000000
1002,DAVITA - LOOP RENAL CENTER,142505,CHICAGO,Illinois,IL,60607,41.83,-87.68,5,5,1,5,3,5,9,8,8,8,10,9,6,6,8,7,3,5,9,9,10,10,8,5,3,5,10,10,10,10,62,No Reduction,1/1/1980,14244 days 00:00:00.000000000
1003,FMC - LOOP,142502,CHICAGO,Illinois,IL,60607,41.83,-87.68,8,5,4,5,6,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,2,5,5,5,10,10,10,10,73,No Reduction,7/1/1973,16619 days 00:00:00.000000000
1004,FMC - WEST SUBURBAN DIALYSIS CENTER,142530,OAK PARK,Illinois,IL,60302,41.88,-87.78,6,5,3,5,5,5,10,8,10,8,10,9,5,6,7,7,5,5,10,9,10,10,6,5,7,5,10,10,10,10,71,No Reduction,1/1/1999,7304 days 00:00:00.000000000
1005,DAVITA - EVANSTON RENAL CENTER,142511,EVANSTON,Illinois,IL,60202,42.04,-87.68,4,5,7,5,5,5,10,8,10,8,10,9,4,6,6,7,6,5,10,9,10,10,5,5,8,5,10,10,10,10,71,No Reduction,1/1/1981,13878 days 00:00:00.000000000
1006,DAVITA - BUFFALO GROVE DIALYSIS,142650,BUFFALO GROVE,Illinois,IL,60089,42.16,-87.96,8,5,8,5,8,5,10,8,8,8,10,9,3,6,6,7,2,5,10,9,10,10,7,5,10,5,10,10,10,10,71,No Reduction,7/20/2004,5277 days 00:00:00.000000000
1007,DAVITA - SPRINGFIELD CENTRAL DIALYSIS,142586,SPRINGFIELD,Illinois,IL,62702,39.78,-89.64,8,5,2,5,5,5,8,8,5,8,10,9,6,6,8,7,8,5,10,9,10,10,4,5,4,5,10,10,10,10,68,No Reduction,1/1/1998,7669 days 00:00:00.000000000
1008,DAVITA - RENAL CARE CENTER NEW LENOX,142741,NEW LENOX,Illinois,IL,60451,41.51,-87.98,5,5,6,5,5,5,8,8,8,8,10,9,5,6,7,7,5,5,10,9,10,10,0,5,1,5,10,10,10,10,54,0.50%,11/27/2012,2225 days 00:00:00.000000000
1009,FKC - LAKE BLUFF,142669,LAKE BLUFF,Illinois,IL,60044,42.28,-87.85,1,5,5,5,3,5,10,8,10,8,10,9,8,6,9,7,10,5,10,9,9,10,4,5,9,5,10,10,10,10,80,No Reduction,8/29/2005,4872 days 00:00:00.000000000
1010,FMC - HIGHLAND,142782,HIGHLAND PARK,Illinois,IL,60035,42.18,-87.8,0,5,5,5,3,5,10,8,9,8,10,9,8,6,9,7,9,5,10,9,10,10,10,5,10,5,10,10,10,10,86,No Reduction,4/27/2015,1344 days 00:00:00.000000000
1011,FMC - BOLINGBROOK DIALYSIS,142605,BOLINGBROOK,Illinois,IL,60440,41.7,-88.07,5,5,8,5,6,5,10,8,10,8,10,9,7,6,8,7,3,5,10,9,10,10,2,5,7,5,10,10,10,10,65,No Reduction,11/6/2000,6629 days 00:00:00.000000000
1012,FMC - SOUTH CHICAGO,142519,CHICAGO,Illinois,IL,60617,41.83,-87.68,3,5,4,5,3,5,10,8,9,8,10,9,6,6,8,7,2,5,10,9,10,10,5,5,10,5,10,10,10,10,65,No Reduction,10/5/1978,14697 days 00:00:00.000000000
1013,DAVITA - STONY ISLAND DIALYSIS,142718,CHICAGO,Illinois,IL,60617,41.83,-87.68,8,5,2,5,5,5,10,8,5,8,10,9,5,6,7,7,2,5,10,9,10,10,5,5,6,5,10,10,10,10,60,No Reduction,8/1/2010,3074 days 00:00:00.000000000
1014,USRC - VILLA PARK DIALYSIS,142755,VILLA PARK,Illinois,IL,60181,41.88,-87.97,2,5,9,5,5,5,10,8,6,8,10,9,8,6,9,7,8,5,10,9,10,10,8,5,7,5,10,10,10,10,80,No Reduction,8/6/2013,1973 days 00:00:00.000000000
1015,FMC - MARQUETTE PARK,142566,CHICAGO,Illinois,IL,60636,41.83,-87.68,6,5,0,5,3,5,8,8,10,8,10,9,8,6,9,7,3,5,9,9,10,10,4,5,10,5,10,10,10,10,65,No Reduction,10/4/1993,9219 days 00:00:00.000000000
1016,DAVITA - SHILOH DIALYSIS,142753,BELLEVILLE,Illinois,IL,62221,38.53,-90,4,5,0,5,2,5,9,8,6,8,10,9,8,6,9,7,3,5,5,9,10,10,3,5,2,5,10,10,10,10,53,0.50%,8/1/2013,1978 days 00:00:00.000000000
1017,DAVITA - COBBLESTONE DIALYSIS,142715,ELGIN,Illinois,IL,60120,42.03,-88.28,7,5,2,5,5,5,9,8,8,8,10,9,6,6,8,7,1,5,9,9,10,10,1,5,10,5,10,10,10,10,59,0.50%,7/1/2010,3105 days 00:00:00.000000000
1018,FMC - EAST PEORIA DIALYSIS,142562,EAST PEORIA,Illinois,IL,61611,40.67,-89.54,3,5,2,5,3,5,8,8,9,8,10,9,0,6,4,7,7,5,9,9,10,10,2,5,4,5,10,10,10,10,57,0.50%,1/1/1980,14244 days 00:00:00.000000000
1019,FMC - ROGERS PARK,142522,CHICAGO,Illinois,IL,60645,41.83,-87.68,0,5,5,5,2,5,10,8,10,8,10,9,9,6,9,7,5,5,9,9,10,10,6,5,10,5,10,10,10,10,72,No Reduction,10/25/1996,8102 days 00:00:00.000000000
1020,FMC - CARBONDALE,142514,CARBONDALE,Illinois,IL,62901,37.72,-89.21,2,5,0,5,1,5,7,8,10,8,10,9,5,6,7,7,6,5,10,9,10,10,2,5,1,5,10,10,10,10,53,0.50%,3/1/1976,15645 days 00:00:00.000000000
1021,FMC - SPRING VALLEY,142564,SPRING VALLEY,Illinois,IL,61362,41.32,-89.19,9,5,6,5,8,5,9,8,10,8,10,9,8,6,9,7,6,5,10,9,10,10,4,5,5,5,10,10,10,10,75,No Reduction,10/1/1993,9222 days 00:00:00.000000000
1022,FMC - MIDWAY DIALYSIS,142713,CHICAGO,Illinois,IL,60638,41.83,-87.68,6,5,7,5,6,5,10,8,10,8,10,9,8,6,9,7,2,5,10,9,10,10,0,5,3,5,10,10,10,10,59,0.50%,8/2/2010,3073 days 00:00:00.000000000
1023,FMC - HOFFMAN ESTATES,142547,HOFFMAN ESTATES,Illinois,IL,60195,42.03,-88.08,8,5,9,5,8,5,10,8,8,8,10,9,5,6,7,7,2,5,10,9,10,10,4,5,10,5,10,10,10,10,69,No Reduction,7/5/1990,10406 days 00:00:00.000000000
1024,FMC - SALINE COUNTY,142573,HARRISBURG,Illinois,IL,62946,37.73,-88.54,0,5,2,5,1,5,7,8,7,8,10,9,7,6,8,7,5,5,10,9,10,10,4,5,2,5,10,10,10,10,54,0.50%,10/25/1996,8102 days 00:00:00.000000000
1025,FMC - OF ELGIN,142726,ELGIN,Illinois,IL,60123,42.03,-88.28,6,5,4,5,5,5,10,8,8,8,10,9,9,6,9,7,8,5,10,9,10,10,10,5,9,5,10,10,10,10,85,No Reduction,8/31/2011,2679 days 00:00:00.000000000
